dialogue_id,turn,misc,family
50,turn 6,absent,D
50,turn 7,absent,D
50,turn 8,not_evidenced,D
51,turn 1,present,D
51,turn 2,present,D
51,turn 3,absent,D
51,turn 4,absent,D
52,turn 1,present,F
52,turn 2,absent,F
52,turn 3,not_evidenced,F
52,turn 4,present,F
52,turn 5,present,F
52,turn 6,present,F
52,turn 7,present,F
52,turn 8,not_evidenced,F
53,turn 1,present,A
53,turn 2,present,A
53,turn 3,absent,A
53,turn 4,present,A
53,turn 5,present,A
53,turn 6,present,A
53,turn 7,present,A
54,turn 1,present,C
54,turn 2,present,C
54,turn 3,present,C
54,turn 4,absent,C
54,turn 5,absent,C
54,turn 6,not_evidenced,C
54,turn 7,not_evidenced,C
54,turn 8,absent,C
55,turn 1,absent,E
56,turn 1,present,F
56,turn 2,absent,F
57,turn 1,present,F
57,turn 2,absent,F
57,turn 3,present,F
57,turn 4,present,F
57,turn 5,present,F
57,turn 6,present,F
57,turn 7,absent,F
57,turn 8,present,F
57,turn 9,present,F
57,turn 10,absent,F
58,turn 1,present,F
58,turn 2,absent,F
58,turn 3,absent,F
58,turn 4,absent,F
58,turn 5,present,F
58,turn 6,absent,F
58,turn 7,present,F
58,turn 8,absent,F
59,turn 1,present,B
59,turn 2,absent,B
59,turn 3,not_evidenced,B
60,turn 1,present,D
60,turn 2,absent,D
60,turn 3,absent,D
60,turn 4,absent,D
60,turn 5,absent,D
60,turn 6,absent,D
61,turn 1,present,B
61,turn 2,not_evidenced,B
61,turn 3,present,B
61,turn 4,absent,B
63,turn 1,present,B
63,turn 2,present,B
63,turn 3,absent,B
64,turn 1,absent,D
64,turn 2,not_evidenced,D
65,turn 1,present,D
65,turn 2,present,D
65,turn 3,present,D
65,turn 4,absent,D
66,turn 1,present,B
66,turn 2,absent,B
66,turn 3,absent,B
66,turn 4,absent,B
66,turn 5,absent,B
67,turn 1,present,A
67,turn 2,absent,A
68,turn 1,present,C
68,turn 2,absent,C
68,turn 3,not_evidenced,C
68,turn 4,not_evidenced,C
68,turn 5,present,C
68,turn 6,absent,C
69,turn 1,present,A
69,turn 2,present,A
69,turn 3,absent,A
69,turn 4,absent,A
70,turn 1,present,D
70,turn 2,not_evidenced,D
70,turn 3,present,D
70,turn 4,present,D
70,turn 5,present,D
70,turn 6,present,D
70,turn 7,present,D
70,turn 8,absent,D
71,turn 1,present,B
71,turn 2,present,B
71,turn 3,present,B
71,turn 4,absent,B
71,turn 5,present,B
71,turn 6,absent,B
71,turn 7,not_evidenced,B
71,turn 8,not_evidenced,B
71,turn 9,absent,B
72,turn 1,present,A
72,turn 2,present,A
72,turn 3,absent,A
72,turn 4,absent,A
73,turn 1,present,C
73,turn 2,absent,C
74,turn 1,present,E
74,turn 2,present,E
74,turn 3,not_evidenced,E
74,turn 4,present,E
74,turn 5,present,E
74,turn 6,present,E
74,turn 7,present,E
74,turn 8,absent,E
75,turn 1,absent,A
75,turn 2,absent,A
75,turn 3,present,A
76,turn 1,present,D
76,turn 2,absent,D
76,turn 3,absent,D
76,turn 4,present,D
77,turn 1,absent,A
77,turn 2,present,A
77,turn 3,absent,A
77,turn 4,absent,A
78,turn 1,present,A
78,turn 2,present,A
78,turn 3,present,A
78,turn 4,absent,A
79,turn 1,present,A
79,turn 2,present,A
79,turn 3,absent,A
80,turn 1,present,C
80,turn 2,absent,C
81,turn 1,present,D
81,turn 2,present,D
81,turn 3,absent,D
82,turn 1,present,E
82,turn 2,present,E
82,turn 3,absent,E
83,turn 1,present,D
83,turn 2,present,D
83,turn 3,present,D
83,turn 4,present,D
83,turn 5,absent,D
84,turn 1,present,F
84,turn 2,not_evidenced,F
84,turn 3,present,F
84,turn 4,present,F
84,turn 5,present,F
84,turn 6,present,F
84,turn 7,present,F
84,turn 8,present,F
84,turn 9,present,F
84,turn 10,absent,F
85,turn 1,present,D
85,turn 2,absent,D
85,turn 3,not_evidenced,D
86,turn 1,present,A
86,turn 2,present,A
86,turn 3,present,A
86,turn 4,present,A
86,turn 5,not_evidenced,A
86,turn 6,not_evidenced,A
86,turn 7,not_evidenced,A
86,turn 8,present,A
86,turn 9,present,A
86,turn 10,present,A
86,turn 11,present,A
86,turn 12,present,A
86,turn 13,absent,A
87,turn 1,present,E
87,turn 2,absent,E
88,turn 1,present,A
88,turn 2,present,A
88,turn 3,present,A
88,turn 4,not_evidenced,A
88,turn 5,present,A
89,turn 1,present,F
89,turn 2,present,F
89,turn 3,present,F
89,turn 4,present,F
89,turn 5,present,F
89,turn 6,absent,F
90,turn 1,present,E
90,turn 2,absent,E
90,turn 3,present,E
90,turn 4,absent,E
90,turn 5,absent,E
90,turn 6,present,E
90,turn 7,present,E
90,turn 8,absent,E
90,turn 9,absent,E
91,turn 1,present,B
91,turn 2,absent,B
91,turn 3,present,B
91,turn 4,present,B
91,turn 5,absent,B
91,turn 6,not_evidenced,B
92,turn 1,present,C
92,turn 2,present,C
92,turn 3,present,C
92,turn 4,present,C
92,turn 5,present,C
93,turn 1,present,E
93,turn 2,not_evidenced,E
93,turn 3,present,E
93,turn 4,present,E
93,turn 5,present,E
93,turn 6,not_evidenced,E
94,turn 1,present,D
94,turn 2,not_evidenced,D
94,turn 3,present,D
94,turn 4,absent,D
94,turn 5,absent,D
94,turn 6,present,D
94,turn 7,present,D
94,turn 8,present,D
94,turn 9,present,D
94,turn 10,absent,D
94,turn 11,present,D
94,turn 12,present,D
94,turn 13,present,D
94,turn 14,absent,D
94,turn 15,not_evidenced,D
95,turn 1,present,D
95,turn 2,present,D
95,turn 3,present,D
95,turn 4,absent,D
95,turn 5,present,D
95,turn 6,present,D
95,turn 7,present,D
95,turn 8,present,D
95,turn 9,present,D
95,turn 10,present,D
96,turn 1,present,C
96,turn 2,present,C
96,turn 3,present,C
96,turn 4,present,C
96,turn 5,not_evidenced,C
96,turn 6,absent,C
96,turn 7,present,C
96,turn 8,absent,C
97,turn 1,present,D
97,turn 2,absent,D
97,turn 3,present,D
97,turn 4,present,D
97,turn 5,not_evidenced,D
97,turn 6,absent,D
97,turn 7,present,D
97,turn 8,absent,D
97,turn 9,present,D
97,turn 10,present,D
97,turn 11,absent,D
97,turn 12,absent,D
97,turn 13,not_evidenced,D
98,turn 1,present,A
98,turn 2,present,A
98,turn 3,present,A
98,turn 4,present,A
98,turn 5,present,A
98,turn 6,present,A
98,turn 7,present,A
98,turn 8,present,A
98,turn 9,present,A
98,turn 10,present,A
98,turn 11,present,A
98,turn 12,present,A
99,turn 1,present,A
99,turn 2,not_evidenced,A
99,turn 3,present,A
99,turn 4,present,A
99,turn 5,present,A
99,turn 6,present,A
99,turn 7,present,A
99,turn 8,present,A
99,turn 9,absent,A
99,turn 10,present,A
99,turn 11,absent,A
100,turn 1,present,D
100,turn 2,present,D
100,turn 3,absent,D
100,turn 4,not_evidenced,D
101,turn 1,present,E
101,turn 2,present,E
101,turn 3,not_evidenced,E
101,turn 4,not_evidenced,E
101,turn 5,present,E
101,turn 6,not_evidenced,E
102,turn 1,present,F
102,turn 2,present,F
102,turn 3,not_evidenced,F
102,turn 4,present,F
102,turn 5,present,F
102,turn 6,not_evidenced,F
102,turn 7,absent,F
102,turn 8,present,F
102,turn 9,present,F
102,turn 10,not_evidenced,F
102,turn 11,absent,F
103,turn 1,present,A
103,turn 2,present,A
103,turn 3,present,A
103,turn 4,absent,A
105,turn 1,present,D
105,turn 2,present,D
105,turn 3,absent,D
105,turn 4,absent,D
106,turn 1,present,D
106,turn 2,present,D
106,turn 3,present,D
107,turn 1,present,C
107,turn 2,present,C
107,turn 3,not_evidenced,C
107,turn 4,present,C
107,turn 5,absent,C
107,turn 6,absent,C
108,turn 1,present,A
108,turn 2,present,A
108,turn 3,present,A
108,turn 4,present,A
108,turn 5,present,A
108,turn 6,present,A
108,turn 7,present,A
108,turn 8,present,A
108,turn 9,present,A
108,turn 10,absent,A
109,turn 1,present,E
109,turn 2,not_evidenced,E
109,turn 3,present,E
109,turn 4,present,E
109,turn 5,present,E
109,turn 6,present,E
109,turn 7,present,E
109,turn 8,present,E
109,turn 9,present,E
109,turn 10,present,E
109,turn 11,absent,E
110,turn 1,present,F
110,turn 2,present,F
110,turn 3,present,F
110,turn 4,not_evidenced,F
110,turn 5,present,F
110,turn 6,absent,F
110,turn 7,present,F
110,turn 8,present,F
110,turn 9,absent,F
111,turn 1,present,C
111,turn 2,present,C
111,turn 3,not_evidenced,C
111,turn 4,present,C
111,turn 5,absent,C
112,turn 1,present,F
112,turn 2,absent,F
112,turn 3,present,F
112,turn 4,present,F
112,turn 5,present,F
112,turn 6,present,F
112,turn 7,present,F
112,turn 8,absent,F
113,turn 1,present,F
113,turn 2,present,F
113,turn 3,present,F
113,turn 4,present,F
113,turn 5,present,F
113,turn 6,present,F
113,turn 7,absent,F
114,turn 1,present,F
114,turn 2,present,F
114,turn 3,present,F
114,turn 4,present,F
114,turn 5,present,F
114,turn 6,absent,F
114,turn 7,not_evidenced,F
115,turn 1,present,D
115,turn 2,present,D
115,turn 3,absent,D
115,turn 4,absent,D
115,turn 5,present,D
115,turn 6,present,D
115,turn 7,absent,D
116,turn 1,present,A
116,turn 2,present,A
116,turn 3,present,A
116,turn 4,present,A
116,turn 5,present,A
116,turn 6,not_evidenced,A
117,turn 1,present,F
117,turn 2,not_evidenced,F
117,turn 3,absent,F
117,turn 4,present,F
117,turn 5,present,F
117,turn 6,present,F
117,turn 7,present,F
117,turn 8,absent,F
117,turn 9,not_evidenced,F
118,turn 1,present,B
118,turn 2,present,B
118,turn 3,not_evidenced,B
118,turn 4,present,B
118,turn 5,absent,B
118,turn 6,present,B
118,turn 7,present,B
118,turn 8,absent,B
118,turn 9,not_evidenced,B
119,turn 1,present,A
119,turn 2,present,A
119,turn 3,not_evidenced,A
119,turn 4,present,A
119,turn 5,not_evidenced,A
119,turn 6,present,A
119,turn 7,present,A
119,turn 8,not_evidenced,A
119,turn 9,absent,A
120,turn 1,present,C
120,turn 2,absent,C
120,turn 3,absent,C
120,turn 4,absent,C
120,turn 5,absent,C
121,turn 1,present,B
121,turn 2,present,B
121,turn 3,present,B
121,turn 4,present,B
121,turn 5,present,B
121,turn 6,present,B
121,turn 7,not_evidenced,B
121,turn 8,absent,B
121,turn 9,absent,B
122,turn 1,present,D
122,turn 2,absent,D
122,turn 3,present,D
122,turn 4,absent,D
122,turn 5,present,D
122,turn 6,present,D
122,turn 7,present,D
123,turn 1,present,A
123,turn 2,present,A
123,turn 3,not_evidenced,A
123,turn 4,present,A
123,turn 5,present,A
123,turn 6,not_evidenced,A
123,turn 7,absent,A
124,turn 1,present,E
124,turn 2,absent,E
124,turn 3,absent,E
124,turn 4,absent,E
125,turn 1,present,B
125,turn 2,present,B
125,turn 3,present,B
125,turn 4,present,B
125,turn 5,present,B
125,turn 6,present,B
125,turn 7,present,B
125,turn 8,present,B
125,turn 9,present,B
125,turn 10,present,B
125,turn 11,present,B
126,turn 1,present,F
126,turn 2,absent,F
126,turn 3,not_evidenced,F
127,turn 1,present,C
127,turn 2,absent,C
127,turn 3,present,C
127,turn 4,present,C
127,turn 5,present,C
127,turn 6,absent,C
127,turn 7,absent,C
127,turn 8,present,C
127,turn 9,absent,C
127,turn 10,not_evidenced,C
128,turn 1,present,C
128,turn 2,present,C
128,turn 3,present,C
128,turn 4,absent,C
128,turn 5,not_evidenced,C
128,turn 6,absent,C
128,turn 7,absent,C
128,turn 8,not_evidenced,C
129,turn 1,present,A
129,turn 2,present,A
129,turn 3,present,A
129,turn 4,absent,A
129,turn 5,not_evidenced,A
130,turn 1,absent,A
130,turn 2,absent,A
130,turn 3,absent,A
130,turn 4,present,A
131,turn 1,present,F
131,turn 2,present,F
131,turn 3,present,F
131,turn 4,present,F
131,turn 5,present,F
131,turn 6,present,F
131,turn 7,present,F
131,turn 8,absent,F
131,turn 9,present,F
131,turn 10,present,F
132,turn 1,present,A
132,turn 2,absent,A
132,turn 3,present,A
132,turn 4,absent,A
132,turn 5,present,A
132,turn 6,absent,A
133,turn 1,absent,F
133,turn 2,present,F
133,turn 3,absent,F
134,turn 1,not_evidenced,B
134,turn 2,absent,B
134,turn 3,present,B
134,turn 4,present,B
134,turn 5,present,B
134,turn 6,present,B
134,turn 7,present,B
134,turn 8,absent,B
134,turn 9,present,B
134,turn 10,present,B
135,turn 1,present,B
135,turn 2,present,B
135,turn 3,present,B
135,turn 4,present,B
135,turn 5,present,B
136,turn 1,absent,B
136,turn 2,not_evidenced,B
136,turn 3,absent,B
136,turn 4,absent,B
136,turn 5,present,B
137,turn 1,present,E
137,turn 2,absent,E
137,turn 3,present,E
137,turn 4,present,E
137,turn 5,absent,E
138,turn 1,present,A
138,turn 2,not_evidenced,A
138,turn 3,present,A
138,turn 4,present,A
138,turn 5,present,A
138,turn 6,present,A
138,turn 7,present,A
139,turn 1,absent,C
139,turn 2,not_evidenced,C
139,turn 3,absent,C
140,turn 1,present,A
140,turn 2,present,A
140,turn 3,present,A
140,turn 4,absent,A
141,turn 1,present,A
141,turn 2,present,A
141,turn 3,absent,A
142,turn 1,present,F
142,turn 2,absent,F
142,turn 3,present,F
142,turn 4,absent,F
143,turn 1,present,B
143,turn 2,absent,B
144,turn 1,present,E
144,turn 2,absent,E
144,turn 3,not_evidenced,E
145,turn 1,present,E
145,turn 2,present,E
145,turn 3,absent,E
145,turn 4,absent,E
145,turn 5,present,E
145,turn 6,present,E
145,turn 7,present,E
145,turn 8,present,E
145,turn 9,present,E
145,turn 10,absent,E
146,turn 1,present,E
146,turn 2,present,E
146,turn 3,absent,E
146,turn 4,not_evidenced,E
147,turn 1,present,E
147,turn 2,not_evidenced,E
147,turn 3,absent,E
147,turn 4,absent,E
147,turn 5,not_evidenced,E
147,turn 6,absent,E
147,turn 7,absent,E
147,turn 8,absent,E
147,turn 9,not_evidenced,E
148,turn 1,present,D
148,turn 2,present,D
148,turn 3,not_evidenced,D
148,turn 4,present,D
148,turn 5,present,D
148,turn 6,present,D
148,turn 7,absent,D
148,turn 8,present,D
148,turn 9,absent,D
148,turn 10,absent,D
148,turn 11,absent,D
148,turn 12,not_evidenced,D
149,turn 1,present,F
149,turn 2,present,F
149,turn 3,absent,F
149,turn 4,not_evidenced,F
150,turn 1,present,C
150,turn 2,present,C
150,turn 3,absent,C
150,turn 4,present,C
150,turn 5,absent,C
151,turn 1,present,A
151,turn 2,not_evidenced,A
151,turn 3,absent,A
151,turn 4,present,A
151,turn 5,present,A
151,turn 6,absent,A
151,turn 7,present,A
151,turn 8,absent,A
152,turn 1,present,B
152,turn 2,not_evidenced,B
152,turn 3,not_evidenced,B
152,turn 4,absent,B
153,turn 1,absent,C
153,turn 2,absent,C
153,turn 3,absent,C
153,turn 4,present,C
153,turn 5,absent,C
153,turn 6,absent,C
153,turn 7,absent,C
153,turn 8,not_evidenced,C
154,turn 1,present,E
154,turn 2,present,E
154,turn 3,present,E
154,turn 4,absent,E
154,turn 5,present,E
154,turn 6,present,E
154,turn 7,present,E
154,turn 8,present,E
155,turn 1,present,B
155,turn 2,absent,B
156,turn 1,absent,C
156,turn 2,not_evidenced,C
156,turn 3,not_evidenced,C
157,turn 1,present,E
157,turn 2,present,E
157,turn 3,present,E
158,turn 1,not_evidenced,B
158,turn 2,not_evidenced,B
158,turn 3,absent,B
158,turn 4,absent,B
159,turn 1,present,E
159,turn 2,absent,E
160,turn 1,present,A
160,turn 2,absent,A
160,turn 3,present,A
160,turn 4,present,A
160,turn 5,absent,A
160,turn 6,present,A
160,turn 7,absent,A
160,turn 8,present,A
161,turn 1,present,E
161,turn 2,absent,E
161,turn 3,absent,E
161,turn 4,not_evidenced,E
161,turn 5,present,E
161,turn 6,absent,E
161,turn 7,not_evidenced,E
162,turn 1,present,B
162,turn 2,not_evidenced,B
162,turn 3,not_evidenced,B
162,turn 4,present,B
162,turn 5,present,B
162,turn 6,present,B
163,turn 1,present,C
163,turn 2,present,C
163,turn 3,absent,C
163,turn 4,absent,C
163,turn 5,not_evidenced,C
164,turn 1,present,D
164,turn 2,not_evidenced,D
164,turn 3,present,D
164,turn 4,not_evidenced,D
164,turn 5,present,D
164,turn 6,present,D
164,turn 7,absent,D
164,turn 8,not_evidenced,D
164,turn 9,not_evidenced,D
165,turn 1,present,A
165,turn 2,present,A
165,turn 3,present,A
165,turn 4,absent,A
165,turn 5,absent,A
166,turn 1,present,C
166,turn 2,present,C
166,turn 3,absent,C
167,turn 1,present,C
167,turn 2,absent,C
167,turn 3,absent,C
167,turn 4,not_evidenced,C
167,turn 5,present,C
167,turn 6,present,C
167,turn 7,absent,C
167,turn 8,not_evidenced,C
168,turn 1,present,A
168,turn 2,present,A
168,turn 3,present,A
168,turn 4,absent,A
168,turn 5,absent,A
169,turn 1,present,D
169,turn 2,absent,D
169,turn 3,present,D
169,turn 4,present,D
169,turn 5,absent,D
169,turn 6,absent,D
169,turn 7,present,D
169,turn 8,absent,D
170,turn 1,absent,B
170,turn 2,not_evidenced,B
171,turn 1,present,E
171,turn 2,absent,E
171,turn 3,not_evidenced,E
172,turn 1,present,A
172,turn 2,present,A
172,turn 3,present,A
172,turn 4,present,A
173,turn 1,present,A
173,turn 2,present,A
173,turn 3,present,A
173,turn 4,present,A
173,turn 5,present,A
173,turn 6,present,A
174,turn 1,present,F
174,turn 2,absent,F
174,turn 3,absent,F
175,turn 1,absent,D
175,turn 2,absent,D
175,turn 3,present,D
175,turn 4,absent,D
175,turn 5,absent,D
176,turn 1,absent,B
176,turn 2,absent,B
177,turn 1,not_evidenced,E
177,turn 2,absent,E
178,turn 1,present,B
178,turn 2,present,B
178,turn 3,absent,B
178,turn 4,absent,B
178,turn 5,not_evidenced,B
178,turn 6,absent,B
179,turn 1,not_evidenced,F
179,turn 2,not_evidenced,F
179,turn 3,present,F
179,turn 4,absent,F
179,turn 5,not_evidenced,F
180,turn 1,present,C
180,turn 2,present,C
180,turn 3,present,C
180,turn 4,present,C
180,turn 5,absent,C
180,turn 6,absent,C
181,turn 1,present,A
181,turn 2,absent,A
181,turn 3,present,A
181,turn 4,present,A
181,turn 5,present,A
181,turn 6,absent,A
182,turn 1,absent,A
182,turn 2,absent,A
182,turn 3,absent,A
183,turn 1,absent,C
183,turn 2,not_evidenced,C
183,turn 3,present,C
183,turn 4,present,C
183,turn 5,present,C
183,turn 6,absent,C
183,turn 7,absent,C
183,turn 8,absent,C
183,turn 9,absent,C
184,turn 1,present,C
184,turn 2,present,C
184,turn 3,present,C
184,turn 4,present,C
184,turn 5,absent,C
185,turn 1,present,D
185,turn 2,absent,D
185,turn 3,present,D
185,turn 4,present,D
186,turn 1,present,D
186,turn 2,absent,D
187,turn 1,present,B
187,turn 2,present,B
187,turn 3,absent,B
187,turn 4,absent,B
188,turn 1,absent,B
188,turn 2,not_evidenced,B
188,turn 3,present,B
188,turn 4,present,B
188,turn 5,present,B
188,turn 6,present,B
188,turn 7,present,B
189,turn 1,present,D
189,turn 2,present,D
189,turn 3,present,D
189,turn 4,present,D
190,turn 1,present,F
190,turn 2,present,F
190,turn 3,present,F
190,turn 4,present,F
190,turn 5,present,F
190,turn 6,absent,F
191,turn 1,present,A
191,turn 2,present,A
191,turn 3,absent,A
191,turn 4,absent,A
191,turn 5,present,A
191,turn 6,absent,A
191,turn 7,absent,A
191,turn 8,not_evidenced,A
191,turn 9,not_evidenced,A
192,turn 1,present,A
192,turn 2,present,A
192,turn 3,absent,A
192,turn 4,present,A
192,turn 5,absent,A
193,turn 1,present,C
193,turn 2,absent,C
193,turn 3,present,C
193,turn 4,present,C
193,turn 5,present,C
193,turn 6,present,C
193,turn 7,present,C
193,turn 8,present,C
193,turn 9,present,C
193,turn 10,present,C
193,turn 11,absent,C
194,turn 1,present,D
194,turn 2,present,D
194,turn 3,absent,D
194,turn 4,present,D
194,turn 5,absent,D
194,turn 6,not_evidenced,D
195,turn 1,present,E
195,turn 2,absent,E
196,turn 1,present,C
196,turn 2,present,C
196,turn 3,absent,C
196,turn 4,absent,C
196,turn 5,present,C
196,turn 6,present,C
196,turn 7,absent,C
196,turn 8,present,C
196,turn 9,present,C
196,turn 10,not_evidenced,C
197,turn 1,present,B
197,turn 2,present,B
197,turn 3,absent,B
197,turn 4,absent,B
197,turn 5,absent,B
198,turn 1,present,E
198,turn 2,present,E
198,turn 3,present,E
198,turn 4,not_evidenced,E
198,turn 5,not_evidenced,E
198,turn 6,not_evidenced,E
198,turn 7,present,E
198,turn 8,absent,E
198,turn 9,absent,E
199,turn 1,present,E
199,turn 2,present,E
199,turn 3,present,E
199,turn 4,absent,E
200,turn 1,present,E
200,turn 2,present,E
200,turn 3,present,E
200,turn 4,absent,E
201,turn 1,present,A
201,turn 2,present,A
